('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 181, Minibatch Loss= 179.489868, Training Accuracy= 0.98000
Iter 182, Minibatch Loss= 27.275625, Training Accuracy= 0.99333
Iter 183, Minibatch Loss= 9.269427, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 118.514505, Training Accuracy= 0.98667
Iter 185, Minibatch Loss= 394.018234, Training Accuracy= 0.97333
Iter 186, Minibatch Loss= 55.678645, Training Accuracy= 0.99333
Iter 187, Minibatch Loss= 136.339294, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 116.224978, Training Accuracy= 0.98667
Iter 191, Minibatch Loss= 79.660547, Training Accuracy= 0.96667
Iter 192, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 193, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 194, Minibatch Loss= 223.548724, Training Accuracy= 0.98000
Iter 195, Minibatch Loss= 176.926188, Training Accuracy= 0.99333
Iter 196, Minibatch Loss= 162.821879, Training Accuracy= 0.99333
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 32.559504, Training Accuracy= 0.99333

Training complete!
('accuracy : ', 0.86363636363636365)
('precision : ', 0.90909090909090906)
('recall : ', 0.86363636363636365)
('f1 : ', 0.86363636363636365)


('Fold : ', 2)
Iter 0, Minibatch Loss= 222122.833333, Training Accuracy= 0.07333
Iter 1, Minibatch Loss= 115367.802083, Training Accuracy= 0.24667
Iter 2, Minibatch Loss= 132736.054688, Training Accuracy= 0.22667
Iter 3, Minibatch Loss= 102942.091146, Training Accuracy= 0.24000
Iter 4, Minibatch Loss= 92495.104167, Training Accuracy= 0.18667
Iter 5, Minibatch Loss= 84907.794271, Training Accuracy= 0.22667
Iter 6, Minibatch Loss= 78511.648438, Training Accuracy= 0.25333
Iter 7, Minibatch Loss= 67975.265625, Training Accuracy= 0.28000
Iter 8, Minibatch Loss= 57429.738281, Training Accuracy= 0.23333
Iter 9, Minibatch Loss= 49103.196615, Training Accuracy= 0.33333
Iter 10, Minibatch Loss= 40765.108073, Training Accuracy= 0.38000
Iter 11, Minibatch Loss= 54701.846354, Training Accuracy= 0.35333
Iter 12, Minibatch Loss= 40687.238281, Training Accuracy= 0.40667
Iter 13, Minibatch Loss= 29377.041016, Training Accuracy= 0.44000
Iter 14, Minibatch Loss= 35072.559896, Training Accuracy= 0.39333
Iter 15, Minibatch Loss= 22814.839193, Training Accuracy= 0.55333
Iter 16, Minibatch Loss= 35315.041016, Training Accuracy= 0.42667
Iter 17, Minibatch Loss= 20885.598633, Training Accuracy= 0.53333
Iter 18, Minibatch Loss= 19958.849609, Training Accuracy= 0.58667
Iter 19, Minibatch Loss= 21729.117513, Training Accuracy= 0.57333
Iter 20, Minibatch Loss= 19115.459635, Training Accuracy= 0.58000
Iter 21, Minibatch Loss= 16999.069987, Training Accuracy= 0.54000
Iter 22, Minibatch Loss= 10760.828125, Training Accuracy= 0.63333
Iter 23, Minibatch Loss= 14469.826497, Training Accuracy= 0.64667
Iter 24, Minibatch Loss= 12639.639648, Training Accuracy= 0.68000
Iter 25, Minibatch Loss= 10123.751465, Training Accuracy= 0.68000
Iter 26, Minibatch Loss= 10651.764323, Training Accuracy= 0.72667
Iter 27, Minibatch Loss= 9726.625651, Training Accuracy= 0.72667
Iter 28, Minibatch Loss= 8676.460124, Training Accuracy= 0.70667
Iter 29, Minibatch Loss= 6034.344564, Training Accuracy= 0.75333
Iter 30, Minibatch Loss= 7498.031250, Training Accuracy= 0.79333
Iter 31, Minibatch Loss= 3571.698649, Training Accuracy= 0.85333
Iter 32, Minibatch Loss= 5296.784261, Training Accuracy= 0.79333
Iter 33, Minibatch Loss= 3523.736491, Training Accuracy= 0.85333
Iter 34, Minibatch Loss= 6132.392008, Training Accuracy= 0.79333
Iter 35, Minibatch Loss= 6810.516032, Training Accuracy= 0.78000
Iter 36, Minibatch Loss= 3834.710999, Training Accuracy= 0.85333
Iter 37, Minibatch Loss= 2260.406403, Training Accuracy= 0.89333
Iter 38, Minibatch Loss= 3528.923177, Training Accuracy= 0.84000
Iter 39, Minibatch Loss= 2654.364339, Training Accuracy= 0.86000
Iter 40, Minibatch Loss= 3185.983307, Training Accuracy= 0.88000
Iter 41, Minibatch Loss= 2453.689779, Training Accuracy= 0.89333
Iter 42, Minibatch Loss= 3192.021545, Training Accuracy= 0.86667
Iter 43, Minibatch Loss= 2833.399160, Training Accuracy= 0.84667
Iter 44, Minibatch Loss= 2194.155273, Training Accuracy= 0.86000
Iter 45, Minibatch Loss= 3912.720011, Training Accuracy= 0.86000
Iter 46, Minibatch Loss= 1174.583516, Training Accuracy= 0.92000
Iter 47, Minibatch Loss= 1764.984985, Training Accuracy= 0.90000
Iter 48, Minibatch Loss= 2130.561198, Training Accuracy= 0.90000
Iter 49, Minibatch Loss= 954.102951, Training Accuracy= 0.91333
Iter 50, Minibatch Loss= 1338.444051, Training Accuracy= 0.92000
Iter 51, Minibatch Loss= 947.192200, Training Accuracy= 0.93333
Iter 52, Minibatch Loss= 669.382782, Training Accuracy= 0.96000
Iter 53, Minibatch Loss= 1049.105306, Training Accuracy= 0.92667
Iter 54, Minibatch Loss= 326.991422, Training Accuracy= 0.96667
Iter 55, Minibatch Loss= 845.406362, Training Accuracy= 0.94000
Iter 56, Minibatch Loss= 1167.676758, Training Accuracy= 0.96667
Iter 57, Minibatch Loss= 1025.190008, Training Accuracy= 0.92667
Iter 58, Minibatch Loss= 666.411530, Training Accuracy= 0.94000
Iter 59, Minibatch Loss= 906.044922, Training Accuracy= 0.94000
Iter 60, Minibatch Loss= 369.116894, Training Accuracy= 0.95333
Iter 61, Minibatch Loss= 1368.787008, Training Accuracy= 0.96000
Iter 62, Minibatch Loss= 1072.422606, Training Accuracy= 0.95333
Iter 63, Minibatch Loss= 698.601247, Training Accuracy= 0.93333
Iter 64, Minibatch Loss= 301.764165, Training Accuracy= 0.95333
Iter 65, Minibatch Loss= 600.471756, Training Accuracy= 0.94000
Iter 66, Minibatch Loss= 760.469111, Training Accuracy= 0.94667
Iter 67, Minibatch Loss= 136.476013, Training Accuracy= 0.98667
Iter 68, Minibatch Loss= 811.221619, Training Accuracy= 0.95333
Iter 69, Minibatch Loss= 180.599663, Training Accuracy= 0.98000
Iter 70, Minibatch Loss= 304.509902, Training Accuracy= 0.94667
Iter 71, Minibatch Loss= 220.244728, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 430.948517, Training Accuracy= 0.97333
Iter 73, Minibatch Loss= 398.145986, Training Accuracy= 0.97333
Iter 74, Minibatch Loss= 353.099871, Training Accuracy= 0.97333
Iter 75, Minibatch Loss= 624.661896, Training Accuracy= 0.94000
Iter 76, Minibatch Loss= 296.608782, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 246.784810, Training Accuracy= 0.97333
Iter 78, Minibatch Loss= 53.979268, Training Accuracy= 0.99333
Iter 79, Minibatch Loss= 618.955200, Training Accuracy= 0.94667
Iter 80, Minibatch Loss= 142.717031, Training Accuracy= 0.97333
Iter 81, Minibatch Loss= 1014.907069, Training Accuracy= 0.94000
Iter 82, Minibatch Loss= 188.126012, Training Accuracy= 0.96667
Iter 83, Minibatch Loss= 359.497163, Training Accuracy= 0.95333
Iter 84, Minibatch Loss= 43.005051, Training Accuracy= 0.99333
Iter 85, Minibatch Loss= 499.441935, Training Accuracy= 0.94667
Iter 86, Minibatch Loss= 332.220545, Training Accuracy= 0.94667
Iter 87, Minibatch Loss= 34.962840, Training Accuracy= 0.99333
Iter 88, Minibatch Loss= 550.360413, Training Accuracy= 0.94000
Iter 89, Minibatch Loss= 367.573466, Training Accuracy= 0.97333
Iter 90, Minibatch Loss= 1235.305359, Training Accuracy= 0.92000
Iter 91, Minibatch Loss= 257.997037, Training Accuracy= 0.98000
Iter 92, Minibatch Loss= 984.007668, Training Accuracy= 0.95333
Iter 93, Minibatch Loss= 996.829844, Training Accuracy= 0.95333
Iter 94, Minibatch Loss= 391.591629, Training Accuracy= 0.94000
Iter 95, Minibatch Loss= 576.016652, Training Accuracy= 0.93333
Iter 96, Minibatch Loss= 179.852239, Training Accuracy= 0.97333
Iter 97, Minibatch Loss= 327.603541, Training Accuracy= 0.96000
Iter 98, Minibatch Loss= 299.652664, Training Accuracy= 0.97333
Iter 99, Minibatch Loss= 241.916402, Training Accuracy= 0.98000
Iter 100, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 101, Minibatch Loss= 481.277395, Training Accuracy= 0.98000
Iter 102, Minibatch Loss= 66.555051, Training Accuracy= 0.98667
Iter 103, Minibatch Loss= 151.354502, Training Accuracy= 0.99333
Iter 104, Minibatch Loss= 300.483541, Training Accuracy= 0.98000
Iter 105, Minibatch Loss= 171.226761, Training Accuracy= 0.98000
Iter 106, Minibatch Loss= 40.368985, Training Accuracy= 0.98667
Iter 107, Minibatch Loss= 42.326068, Training Accuracy= 0.99333
Iter 108, Minibatch Loss= 81.655923, Training Accuracy= 0.98000
Iter 109, Minibatch Loss= 217.021647, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 27.992162, Training Accuracy= 0.99333
Iter 111, Minibatch Loss= 146.384633, Training Accuracy= 0.98000
Iter 112, Minibatch Loss= 312.417440, Training Accuracy= 0.96667
Iter 113, Minibatch Loss= 148.079487, Training Accuracy= 0.98667
Iter 114, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 115, Minibatch Loss= 92.577881, Training Accuracy= 0.99333
Iter 116, Minibatch Loss= 202.551595, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 278.186073, Training Accuracy= 0.98000
Iter 118, Minibatch Loss= 230.359111, Training Accuracy= 0.98000
Iter 119, Minibatch Loss= 80.080444, Training Accuracy= 0.99333
Iter 120, Minibatch Loss= 104.327871, Training Accuracy= 0.98667
Iter 121, Minibatch Loss= 47.810588, Training Accuracy= 0.99333
Iter 122, Minibatch Loss= 50.077733, Training Accuracy= 0.98667
Iter 123, Minibatch Loss= 55.314321, Training Accuracy= 0.98667
Iter 124, Minibatch Loss= 22.521589, Training Accuracy= 0.99333
Iter 125, Minibatch Loss= 170.685389, Training Accuracy= 0.98667
Iter 126, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 127, Minibatch Loss= 154.114857, Training Accuracy= 0.97333
Iter 128, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 129, Minibatch Loss= 56.528570, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 214.465312, Training Accuracy= 0.98000
Iter 131, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 132, Minibatch Loss= 286.466919, Training Accuracy= 0.97333
Iter 133, Minibatch Loss= 201.184942, Training Accuracy= 0.98667
Iter 134, Minibatch Loss= 54.343048, Training Accuracy= 0.99333
Iter 135, Minibatch Loss= 170.107137, Training Accuracy= 0.98000
Iter 136, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 137, Minibatch Loss= 129.498072, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 139, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 43.818255, Training Accuracy= 0.98667
Iter 142, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 143, Minibatch Loss= 127.952866, Training Accuracy= 0.98000
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 145, Minibatch Loss= 29.446381, Training Accuracy= 0.99333
Iter 146, Minibatch Loss= 60.617737, Training Accuracy= 0.98667
Iter 147, Minibatch Loss= 86.782708, Training Accuracy= 0.98667
Iter 148, Minibatch Loss= 74.409599, Training Accuracy= 0.98667
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 89.279795, Training Accuracy= 0.99333
Iter 151, Minibatch Loss= 206.616516, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 21.729141, Training Accuracy= 0.98667
Iter 153, Minibatch Loss= 56.618569, Training Accuracy= 0.98667
Iter 154, Minibatch Loss= 151.193746, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 215.826925, Training Accuracy= 0.98667
Iter 157, Minibatch Loss= 29.903437, Training Accuracy= 0.98667
Iter 158, Minibatch Loss= 34.386210, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 28.119479, Training Accuracy= 0.99333
Iter 160, Minibatch Loss= 85.955650, Training Accuracy= 0.98667
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 163, Minibatch Loss= 115.002553, Training Accuracy= 0.99333
Iter 164, Minibatch Loss= 46.306875, Training Accuracy= 0.99333
Iter 165, Minibatch Loss= 59.965697, Training Accuracy= 0.98000
Iter 166, Minibatch Loss= 115.280752, Training Accuracy= 0.98667
Iter 167, Minibatch Loss= 125.310465, Training Accuracy= 0.98667
Iter 168, Minibatch Loss= 286.924032, Training Accuracy= 0.98000
Iter 169, Minibatch Loss= 231.470980, Training Accuracy= 0.98000
Iter 170, Minibatch Loss= 653.115031, Training Accuracy= 0.96000
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 87.695427, Training Accuracy= 0.98667
Iter 173, Minibatch Loss= 34.619128, Training Accuracy= 0.98000
Iter 174, Minibatch Loss= 45.978594, Training Accuracy= 0.98667
Iter 175, Minibatch Loss= 24.761250, Training Accuracy= 0.98667
Iter 176, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 177, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 178, Minibatch Loss= 273.090342, Training Accuracy= 0.98000
Iter 179, Minibatch Loss= 40.991407, Training Accuracy= 0.99333
Iter 180, Minibatch Loss= 33.271731, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 182, Minibatch Loss= 223.231639, Training Accuracy= 0.97333
Iter 183, Minibatch Loss= 261.572835, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 185, Minibatch Loss= 46.083659, Training Accuracy= 0.98667
Iter 186, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 187, Minibatch Loss= 317.845825, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 6.296640, Training Accuracy= 0.99333
Iter 189, Minibatch Loss= 85.705363, Training Accuracy= 0.99333
Iter 190, Minibatch Loss= 11.450118, Training Accuracy= 0.99333
Iter 191, Minibatch Loss= 63.975871, Training Accuracy= 0.99333
Iter 192, Minibatch Loss= 110.578725, Training Accuracy= 0.99333
Iter 193, Minibatch Loss= 20.898984, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 54.728333, Training Accuracy= 0.99333
Iter 197, Minibatch Loss= 94.524424, Training Accuracy= 0.99333
Iter 198, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 199, Minibatch Loss= 0.000000, Training Accuracy= 1.00000

Training complete!
('accuracy : ', 0.77272727272727271)
/Library/Python/2.7/site-packages/sklearn/metrics/classification.py:1113: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples.
  'precision', 'predicted', average, warn_for)
('precision : ', 0.77777777777777779)
('recall : ', 0.77272727272727271)
/Library/Python/2.7/site-packages/sklearn/metrics/classification.py:1113: UndefinedMetricWarning: F-score is ill-defined and being set to 0.0 in labels with no predicted samples.
  'precision', 'predicted', average, warn_for)
('f1 : ', 0.74011544011544006)


('Fold : ', 3)
Iter 0, Minibatch Loss= 213079.197917, Training Accuracy= 0.14000
Iter 1, Minibatch Loss= 161700.494792, Training Accuracy= 0.21333
Iter 2, Minibatch Loss= 132053.539062, Training Accuracy= 0.22667
Iter 3, Minibatch Loss= 148022.239583, Training Accuracy= 0.12000
Iter 4, Minibatch Loss= 113490.617188, Training Accuracy= 0.21333
Iter 5, Minibatch Loss= 91362.739583, Training Accuracy= 0.24667
Iter 6, Minibatch Loss= 67604.113281, Training Accuracy= 0.28667
Iter 7, Minibatch Loss= 70367.384115, Training Accuracy= 0.34000
Iter 8, Minibatch Loss= 70187.731771, Training Accuracy= 0.32000
Iter 9, Minibatch Loss= 63742.910156, Training Accuracy= 0.34000
Iter 10, Minibatch Loss= 49790.102865, Training Accuracy= 0.36000
Iter 11, Minibatch Loss= 54128.910156, Training Accuracy= 0.35333
Iter 12, Minibatch Loss= 35546.354167, Training Accuracy= 0.46667
Iter 13, Minibatch Loss= 37774.162760, Training Accuracy= 0.49333
Iter 14, Minibatch Loss= 33126.462240, Training Accuracy= 0.47333
Iter 15, Minibatch Loss= 34890.545573, Training Accuracy= 0.50000
Iter 16, Minibatch Loss= 22120.217448, Training Accuracy= 0.58667
Iter 17, Minibatch Loss= 22845.684245, Training Accuracy= 0.56667
Iter 18, Minibatch Loss= 23008.183594, Training Accuracy= 0.52667
Iter 19, Minibatch Loss= 16339.102214, Training Accuracy= 0.65333
Iter 20, Minibatch Loss= 23228.355469, Training Accuracy= 0.54000
Iter 21, Minibatch Loss= 17414.991211, Training Accuracy= 0.56667
Iter 22, Minibatch Loss= 21927.174154, Training Accuracy= 0.58000
Iter 23, Minibatch Loss= 15417.453451, Training Accuracy= 0.72667
Iter 24, Minibatch Loss= 10200.253418, Training Accuracy= 0.72000
Iter 25, Minibatch Loss= 10669.205892, Training Accuracy= 0.74667
Iter 26, Minibatch Loss= 12612.765625, Training Accuracy= 0.71333
Iter 27, Minibatch Loss= 12388.752604, Training Accuracy= 0.70000
Iter 28, Minibatch Loss= 11462.114258, Training Accuracy= 0.72000
Iter 29, Minibatch Loss= 7889.268717, Training Accuracy= 0.74000
Iter 30, Minibatch Loss= 10893.661133, Training Accuracy= 0.76667
Iter 31, Minibatch Loss= 10816.048503, Training Accuracy= 0.76667
Iter 32, Minibatch Loss= 8213.660156, Training Accuracy= 0.74667
Iter 33, Minibatch Loss= 5798.366536, Training Accuracy= 0.82667
Iter 34, Minibatch Loss= 5646.546224, Training Accuracy= 0.80000
Iter 35, Minibatch Loss= 6723.804850, Training Accuracy= 0.76000
Iter 36, Minibatch Loss= 4269.235514, Training Accuracy= 0.83333
Iter 37, Minibatch Loss= 5681.930501, Training Accuracy= 0.78667
Iter 38, Minibatch Loss= 3691.161377, Training Accuracy= 0.84000
Iter 39, Minibatch Loss= 3897.398600, Training Accuracy= 0.84000
Iter 40, Minibatch Loss= 3296.681234, Training Accuracy= 0.85333
Iter 41, Minibatch Loss= 4166.109782, Training Accuracy= 0.82667
Iter 42, Minibatch Loss= 3712.495850, Training Accuracy= 0.86667
Iter 43, Minibatch Loss= 1951.979390, Training Accuracy= 0.89333
Iter 44, Minibatch Loss= 4172.201742, Training Accuracy= 0.82667
Iter 45, Minibatch Loss= 4382.963949, Training Accuracy= 0.86000
Iter 46, Minibatch Loss= 3792.867391, Training Accuracy= 0.86000
Iter 47, Minibatch Loss= 2146.344137, Training Accuracy= 0.90000
Iter 48, Minibatch Loss= 1726.503133, Training Accuracy= 0.90000
Iter 49, Minibatch Loss= 1116.635030, Training Accuracy= 0.94000
Iter 50, Minibatch Loss= 1728.489827, Training Accuracy= 0.90000
Iter 51, Minibatch Loss= 1089.906881, Training Accuracy= 0.92000
Iter 52, Minibatch Loss= 1651.609619, Training Accuracy= 0.90667
Iter 53, Minibatch Loss= 1127.218404, Training Accuracy= 0.92000
Iter 54, Minibatch Loss= 963.873454, Training Accuracy= 0.94667
Iter 55, Minibatch Loss= 1652.696493, Training Accuracy= 0.90667
Iter 56, Minibatch Loss= 894.251638, Training Accuracy= 0.96000
Iter 57, Minibatch Loss= 1307.811717, Training Accuracy= 0.91333
Iter 58, Minibatch Loss= 2045.620728, Training Accuracy= 0.90000
Iter 59, Minibatch Loss= 1278.727519, Training Accuracy= 0.91333
Iter 60, Minibatch Loss= 1351.909892, Training Accuracy= 0.92000
Iter 61, Minibatch Loss= 1293.153849, Training Accuracy= 0.94667
Iter 62, Minibatch Loss= 828.144521, Training Accuracy= 0.94667
Iter 63, Minibatch Loss= 896.566813, Training Accuracy= 0.93333
Iter 64, Minibatch Loss= 2048.651225, Training Accuracy= 0.90667
Iter 65, Minibatch Loss= 2179.724772, Training Accuracy= 0.89333
Iter 66, Minibatch Loss= 580.406296, Training Accuracy= 0.95333
Iter 67, Minibatch Loss= 555.961263, Training Accuracy= 0.95333
Iter 68, Minibatch Loss= 1621.930888, Training Accuracy= 0.89333
Iter 69, Minibatch Loss= 1697.699382, Training Accuracy= 0.90667
Iter 70, Minibatch Loss= 2201.361003, Training Accuracy= 0.88667
Iter 71, Minibatch Loss= 1345.072632, Training Accuracy= 0.92667
Iter 72, Minibatch Loss= 1573.824727, Training Accuracy= 0.91333
Iter 73, Minibatch Loss= 844.208242, Training Accuracy= 0.95333
Iter 74, Minibatch Loss= 892.441335, Training Accuracy= 0.96000
Iter 75, Minibatch Loss= 719.056285, Training Accuracy= 0.93333
Iter 76, Minibatch Loss= 384.686930, Training Accuracy= 0.96667
Iter 77, Minibatch Loss= 302.766215, Training Accuracy= 0.98000
Iter 78, Minibatch Loss= 628.299909, Training Accuracy= 0.94667
Iter 79, Minibatch Loss= 185.998619, Training Accuracy= 0.98667
Iter 80, Minibatch Loss= 845.070435, Training Accuracy= 0.96000
Iter 81, Minibatch Loss= 471.806356, Training Accuracy= 0.96667
Iter 82, Minibatch Loss= 437.489950, Training Accuracy= 0.94000
Iter 83, Minibatch Loss= 658.349503, Training Accuracy= 0.94000
Iter 84, Minibatch Loss= 124.457237, Training Accuracy= 0.97333
Iter 85, Minibatch Loss= 368.885478, Training Accuracy= 0.96667
Iter 86, Minibatch Loss= 339.891449, Training Accuracy= 0.98000
Iter 87, Minibatch Loss= 409.197743, Training Accuracy= 0.96667
Iter 88, Minibatch Loss= 277.718180, Training Accuracy= 0.98667
Iter 89, Minibatch Loss= 284.665522, Training Accuracy= 0.96000
Iter 90, Minibatch Loss= 218.339071, Training Accuracy= 0.99333
Iter 91, Minibatch Loss= 332.871777, Training Accuracy= 0.97333
Iter 92, Minibatch Loss= 136.258258, Training Accuracy= 0.98667
Iter 93, Minibatch Loss= 464.777230, Training Accuracy= 0.96000
Iter 94, Minibatch Loss= 511.688558, Training Accuracy= 0.96000
Iter 95, Minibatch Loss= 247.650126, Training Accuracy= 0.98000
Iter 96, Minibatch Loss= 832.359126, Training Accuracy= 0.93333
Iter 97, Minibatch Loss= 131.544607, Training Accuracy= 0.98667
Iter 98, Minibatch Loss= 133.014058, Training Accuracy= 0.98667
Iter 99, Minibatch Loss= 8.270365, Training Accuracy= 0.99333
Iter 100, Minibatch Loss= 462.225525, Training Accuracy= 0.94667
Iter 101, Minibatch Loss= 125.628110, Training Accuracy= 0.98667
Iter 102, Minibatch Loss= 385.391731, Training Accuracy= 0.97333
Iter 103, Minibatch Loss= 0.952031, Training Accuracy= 0.99333
Iter 104, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 105, Minibatch Loss= 126.867658, Training Accuracy= 0.97333
Iter 106, Minibatch Loss= 78.741979, Training Accuracy= 0.98000
Iter 107, Minibatch Loss= 969.745036, Training Accuracy= 0.96000
Iter 108, Minibatch Loss= 187.963257, Training Accuracy= 0.97333
Iter 109, Minibatch Loss= 3.994141, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 43.893386, Training Accuracy= 0.98000
Iter 111, Minibatch Loss= 292.814461, Training Accuracy= 0.98000
Iter 112, Minibatch Loss= 8.589713, Training Accuracy= 0.99333
Iter 113, Minibatch Loss= 301.557948, Training Accuracy= 0.96667
Iter 114, Minibatch Loss= 76.024221, Training Accuracy= 0.98667
Iter 115, Minibatch Loss= 143.254349, Training Accuracy= 0.98000
Iter 116, Minibatch Loss= 147.290171, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 482.955760, Training Accuracy= 0.96667
Iter 118, Minibatch Loss= 255.222600, Training Accuracy= 0.97333
Iter 119, Minibatch Loss= 227.593747, Training Accuracy= 0.98000
Iter 120, Minibatch Loss= 275.956971, Training Accuracy= 0.98000
Iter 121, Minibatch Loss= 122.551046, Training Accuracy= 0.98667
Iter 122, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 123, Minibatch Loss= 112.678724, Training Accuracy= 0.98667
Iter 124, Minibatch Loss= 412.342651, Training Accuracy= 0.96667
Iter 125, Minibatch Loss= 138.432372, Training Accuracy= 0.98000
Iter 126, Minibatch Loss= 424.021833, Training Accuracy= 0.96000
Iter 127, Minibatch Loss= 149.917765, Training Accuracy= 0.98667
Iter 128, Minibatch Loss= 26.719167, Training Accuracy= 0.98667
Iter 129, Minibatch Loss= 385.713969, Training Accuracy= 0.96667
Iter 130, Minibatch Loss= 37.094948, Training Accuracy= 0.99333
Iter 131, Minibatch Loss= 48.733959, Training Accuracy= 0.98667
Iter 132, Minibatch Loss= 597.235352, Training Accuracy= 0.97333
Iter 133, Minibatch Loss= 586.832851, Training Accuracy= 0.97333
Iter 134, Minibatch Loss= 139.398621, Training Accuracy= 0.98667
Iter 135, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 136, Minibatch Loss= 141.222605, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 11.483073, Training Accuracy= 0.99333
Iter 138, Minibatch Loss= 96.668538, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 39.256380, Training Accuracy= 0.98667
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 142, Minibatch Loss= 76.247866, Training Accuracy= 0.98000
Iter 143, Minibatch Loss= 53.994064, Training Accuracy= 0.99333
Iter 144, Minibatch Loss= 61.936483, Training Accuracy= 0.99333
Iter 145, Minibatch Loss= 52.057343, Training Accuracy= 0.98667
Iter 146, Minibatch Loss= 128.058400, Training Accuracy= 0.98667
Iter 147, Minibatch Loss= 84.308698, Training Accuracy= 0.98667
Iter 148, Minibatch Loss= 54.695521, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 150, Minibatch Loss= 181.783646, Training Accuracy= 0.98667
Iter 151, Minibatch Loss= 50.146302, Training Accuracy= 0.98667
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 251.257133, Training Accuracy= 0.97333
Iter 154, Minibatch Loss= 14.319843, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 156, Minibatch Loss= 11.044636, Training Accuracy= 0.99333
Iter 157, Minibatch Loss= 147.993256, Training Accuracy= 0.99333
Iter 158, Minibatch Loss= 51.081746, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
